iter	Passed	Remaining
144	529	3122
145	532	3116
146	536	3112
147	539	3107
148	543	3104
149	546	3098
150	550	3096
151	554	3092
152	557	3088
153	561	3083
154	564	3080
155	568	3075
156	572	3072
157	575	3066
158	579	3065
159	582	3060
160	586	3058
161	590	3052
162	593	3048
163	597	3043
164	601	3042
165	604	3036
166	608	3033
167	611	3028
168	615	3024
169	618	3019
170	622	3016
171	625	3012
172	629	3006
173	632	3003
174	635	2998
175	638	2991
176	642	2987
177	645	2980
178	649	2977
179	652	2970
180	655	2966
181	658	2960
182	661	2953
183	664	2947
184	668	2944
185	671	2938
186	675	2937
187	678	2932
188	682	2926
189	684	2920
190	688	2918
191	691	2910
192	694	2905
193	697	2898
194	700	2891
195	703	2886
196	707	2882
197	709	2875
198	712	2869
199	716	2865
200	719	2860
201	722	2856
202	726	2852
203	730	2852
204	734	2848
205	738	2846
206	741	2839
207	746	2843
208	749	2837
209	753	2834
210	756	2830
211	761	2829
212	764	2825
213	767	2820
214	770	2814
215	773	2808
216	777	2805
217	781	2803
218	784	2797
219	787	2791
220	790	2788
221	794	2783
222	797	2779
223	801	2777
224	804	2770
225	807	2766
226	810	2761
227	813	2755
228	817	2750
229	820	2746
230	824	2743
231	827	2738
232	830	2734
233	833	2728
234	836	2723
235	839	2719
236	842	2713
237	845	2708
238	849	2703
239	852	2699
240	855	2694
241	858	2689
242	861	2683
243	864	2679
244	867	2673
245	870	2668
246	873	2662
247	876	2659
248	880	2656
249	883	2651
250	886	2645
251	890	2642
252	893	2637
253	896	2632
254	899	2627
255	903	2625
256	906	2621
257	910	2619
258	913	2614
259	917	2611
260	920	2606
261	923	2601
262	926	2596
263	929	2592
264	933	2589
265	936	2585
266	939	2580
267	943	2575
268	946	2571
269	950	2569
270	953	2564
271	956	2560
272	959	2555
273	962	2550
274	965	2545
275	968	2540
276	972	2539
277	976	2536
278	979	2531
279	982	2526
280	985	2521
281	988	2516
282	991	2511
283	994	2506
284	997	2502
285	1001	2499
286	1003	2493
287	1006	2489
288	1010	2486
289	1013	2481
290	1016	2476
291	1021	2476
292	1025	2474
293	1032	2478
294	1038	2481
295	1041	2476
296	1044	2471
297	1047	2467
298	1050	2463
299	1053	2458
300	1056	2453
301	1060	2450
302	1063	2446
303	1066	2441
304	1070	2438
305	1073	2433
306	1076	2430
307	1079	2425
308	1083	2423
309	1086	2419
310	1090	2415
311	1093	2410
312	1096	2406
313	1099	2401
314	1102	2396
315	1104	2391
316	1107	2387
317	1110	2382
318	1113	2377
319	1116	2372
320	1119	2367
321	1122	2364
322	1126	2360
323	1129	2356
324	1132	2352
325	1136	2348
326	1140	2348
327	1145	2346
328	1150	2345
329	1154	2343
330	1157	2339
331	1160	2335
332	1163	2331
333	1166	2326
334	1169	2322
335	1172	2317
336	1175	2313
337	1179	2309
338	1182	2304
339	1185	2301
340	1189	2297
341	1192	2293
342	1195	2289
343	1198	2284
344	1200	2280
345	1204	2276
346	1207	2272
347	1210	2268
348	1213	2264
349	1216	2259
350	1219	2255
351	1222	2251
352	1226	2247
353	1229	2242
354	1232	2238
355	1235	2234
356	1238	2230
357	1241	2226
358	1244	2222
359	1248	2218
360	1251	2215
361	1254	2211
362	1257	2207
363	1261	2203
364	1264	2199
365	1267	2195
366	1270	2191
367	1273	2187
368	1277	2183
369	1280	2179
370	1283	2175
371	1286	2172
372	1289	2167
373	1292	2163
374	1295	2159
375	1298	2155
376	1301	2151
377	1304	2146
378	1308	2143
379	1311	2139
380	1314	2135
381	1317	2131
382	1321	2128
383	1324	2124
384	1328	2121
385	1335	2124
386	1344	2129
387	1350	2130
388	1355	2129
389	1358	2125
390	1362	2121
391	1365	2117
392	1368	2113
393	1371	2109
394	1374	2105
395	1378	2102
396	1381	2098
397	1384	2094
398	1387	2090
399	1390	2086
400	1393	2081
401	1397	2078
402	1400	2074
403	1403	2070
404	1406	2066
405	1409	2062
406	1412	2057
407	1415	2053
408	1418	2049
409	1421	2046
410	1424	2042
411	1429	2039
412	1432	2035
413	1435	2032
414	1439	2029
415	1442	2025
416	1445	2021
417	1449	2018
418	1452	2013
419	1455	2009
420	1458	2005
421	1461	2001
422	1465	1998
423	1468	1994
424	1471	1990
425	1474	1986
426	1477	1983
427	1480	1978
428	1483	1975
429	1486	1970
430	1489	1966
431	1492	1962
432	1495	1958
433	1499	1955
434	1502	1951
435	1505	1947
436	1508	1943
437	1511	1939
438	1514	1935
439	1518	1933
440	1522	1929
441	1525	1926
442	1528	1921
443	1531	1918
444	1534	1914
445	1538	1910
446	1540	1906
447	1544	1903
448	1547	1899
449	1551	1895
450	1555	1893
451	1558	1889
452	1562	1886
453	1565	1883
454	1569	1879
455	1573	1876
456	1576	1872
457	1579	1869
458	1582	1864
459	1586	1861
460	1589	1857
461	1592	1854
462	1595	1850
463	1598	1846
464	1601	1843
465	1605	1840
466	1608	1836
467	1612	1832
468	1615	1828
469	1618	1825
470	1622	1822
471	1626	1818
472	1628	1814
473	1631	1810
474	1635	1807
475	1638	1803
476	1641	1800
477	1644	1796
478	1647	1792
479	1651	1788
480	1655	1786
481	1658	1782
482	1663	1780
483	1665	1775
484	1668	1772
485	1671	1768
486	1674	1764
487	1677	1760
488	1682	1758
489	1687	1756
490	1691	1753
491	1694	1749
492	1698	1746
493	1701	1743
494	1705	1739
495	1710	1737
496	1714	1735
497	1719	1732
498	1729	1736
499	1740	1740
500	1755	1748
501	1767	1753
502	1782	1761
503	1789	1760
504	1792	1756
505	1795	1753
506	1799	1750
507	1803	1746
508	1806	1742
509	1810	1739
510	1813	1735
511	1817	1732
512	1821	1728
513	1826	1726
514	1829	1723
515	1834	1720
516	1837	1716
517	1840	1712
518	1843	1708
519	1846	1704
520	1851	1701
521	1855	1698
522	1860	1697
523	1864	1693
524	1869	1691
525	1873	1688
526	1877	1685
527	1880	1681
528	1883	1677
529	1886	1673
530	1889	1668
531	1892	1664
532	1895	1660
533	1899	1657
534	1902	1653
535	1905	1649
536	1908	1645
537	1911	1641
538	1914	1637
539	1917	1633
540	1920	1629
541	1923	1625
542	1926	1621
543	1932	1619
544	1940	1619
545	1948	1620
546	1953	1617
547	1956	1613
548	1959	1609
549	1962	1605
550	1965	1601
551	1968	1597
552	1972	1594
553	1975	1589
554	1977	1585
555	1980	1581
556	1983	1577
557	1986	1573
558	1989	1569
559	1992	1565
560	1995	1561
561	1998	1557
562	2001	1553
563	2004	1549
564	2008	1546
565	2010	1541
566	2014	1538
567	2017	1534
568	2020	1530
569	2023	1526
570	2026	1522
571	2029	1518
572	2033	1515
573	2038	1512
574	2047	1513
575	2050	1509
576	2054	1506
577	2057	1502
578	2060	1498
579	2063	1494
580	2066	1490
581	2069	1486
582	2072	1482
583	2075	1478
584	2078	1474
585	2081	1470
586	2084	1466
587	2089	1463
588	2092	1459
589	2095	1455
590	2098	1451
591	2101	1448
592	2103	1444
593	2107	1440
594	2110	1436
595	2112	1432
596	2115	1428
597	2119	1424
598	2122	1420
599	2125	1417
600	2128	1413
601	2132	1410
602	2135	1406
603	2139	1402
604	2142	1398
605	2145	1394
606	2148	1391
607	2152	1387
608	2155	1383
609	2158	1379
610	2161	1376
611	2164	1372
612	2167	1368
613	2171	1365
614	2175	1361
615	2178	1358
616	2181	1354
617	2184	1350
618	2187	1346
619	2190	1342
620	2193	1338
621	2196	1334
622	2199	1331
623	2203	1327
624	2205	1323
625	2209	1320
626	2212	1316
627	2215	1312
628	2219	1308
629	2222	1305
630	2226	1301
631	2231	1299
632	2234	1295
633	2238	1292
634	2241	1288
635	2245	1285
636	2249	1282
637	2253	1278
638	2256	1274
639	2260	1271
640	2263	1267
641	2266	1264
642	2270	1260
643	2274	1257
644	2277	1253
645	2280	1249
646	2284	1246
647	2288	1242
648	2291	1239
649	2294	1235
650	2297	1231
651	2300	1227
652	2303	1224
653	2306	1220
654	2309	1216
655	2314	1213
656	2317	1210
657	2321	1206
658	2324	1202
659	2327	1199
660	2330	1195
661	2333	1191
662	2337	1187
663	2340	1184
664	2343	1180
665	2346	1176
666	2349	1172
667	2352	1169
668	2356	1165
669	2358	1161
670	2362	1158
671	2365	1154
672	2368	1150
673	2371	1147
674	2374	1143
675	2377	1139
676	2380	1135
677	2383	1132
678	2387	1128
679	2390	1125
680	2393	1121
681	2396	1117
682	2399	1113
683	2402	1110
684	2406	1106
685	2409	1103
686	2412	1099
687	2416	1095
688	2419	1091
689	2422	1088
690	2425	1084
691	2428	1080
692	2431	1077
693	2434	1073
694	2437	1069
695	2440	1065
696	2443	1062
697	2447	1058
698	2450	1055
699	2453	1051
700	2456	1047
701	2460	1044
702	2463	1040
703	2466	1037
704	2470	1033
705	2473	1029
706	2476	1026
707	2479	1022
708	2482	1018
709	2485	1015
710	2488	1011
711	2491	1007
712	2493	1003
713	2497	1000
714	2501	997
715	2504	993
716	2508	990
717	2512	986
718	2517	983
719	2520	980
720	2523	976
721	2526	972
722	2529	969
723	2532	965
724	2535	961
725	2538	957
726	2541	954
727	2544	950
728	2548	947
729	2551	943
730	2556	940
731	2559	937
732	2562	933
733	2566	930
734	2569	926
735	2572	922
736	2576	919
737	2579	915
738	2582	912
739	2585	908
740	2589	904
741	2592	901
742	2596	898
743	2599	894
744	2602	890
745	2605	886
746	2608	883
747	2611	879
748	2614	876
749	2618	872
750	2621	869
751	2624	865
752	2627	861
753	2630	858
754	2633	854
755	2636	851
756	2640	847
757	2643	843
758	2645	840
759	2649	836
760	2651	832
761	2654	829
762	2657	825
763	2665	823
764	2679	823
765	2688	821
766	2697	819
767	2706	817
768	2715	815
769	2724	813
770	2732	811
771	2745	810
772	2752	808
773	2769	808
774	2774	805
775	2778	802
776	2782	798
777	2786	795
778	2790	791
779	2793	787
780	2797	784
781	2803	781
782	2807	777
783	2811	774
784	2815	771
785	2818	767
786	2822	763
787	2826	760
788	2830	756
789	2834	753
790	2843	751
791	2846	747
792	2851	744
793	2856	740
794	2859	737
795	2863	733
796	2867	730
797	2870	726
798	2874	723
799	2877	719
800	2886	717
801	2889	713
802	2893	709
803	2896	706
804	2901	702
805	2905	699
806	2909	695
807	2917	693
808	2924	690
809	2933	688
810	2939	685
811	2943	681
812	2951	678
813	2954	675
814	2960	672
815	2965	668
816	2973	665
817	2982	663
818	2990	660
819	2993	657
820	3001	654
821	3007	651
822	3012	647
823	3017	644
824	3023	641
825	3029	638
826	3036	635
827	3040	631
828	3044	627
829	3047	624
830	3052	620
831	3060	617
832	3067	614
833	3070	611
834	3074	607
835	3082	604
836	3085	600
837	3093	598
838	3099	594
839	3103	591
840	3111	588
841	3120	585
842	3127	582
843	3131	578
844	3135	575
845	3144	572
846	3155	570
847	3159	566
848	3165	562
849	3171	559
850	3179	556
851	3184	553
852	3189	549
853	3199	546
854	3207	544
855	3216	541
856	3225	538
857	3231	534
858	3236	531
859	3240	527
860	3244	523
861	3248	520
862	3252	516
863	3256	512
864	3261	508
865	3265	505
866	3274	502
867	3281	499
868	3284	495
869	3291	491
870	3297	488
871	3308	485
872	3315	482
873	3323	479
874	3332	476
875	3340	472
876	3348	469
877	3356	466
878	3365	463
879	3371	459
880	3374	455
881	3378	451
882	3381	448
883	3386	444
884	3395	441
885	3403	437
886	3412	434
887	3416	430
888	3419	426
889	3422	422
890	3425	419
891	3428	415
892	3431	411
893	3434	407
894	3437	403
895	3440	399
896	3443	395
897	3446	391
898	3449	387
899	3452	383
900	3456	379
901	3459	375
902	3462	371
903	3465	368
904	3469	364
905	3472	360
906	3475	356
907	3478	352
908	3481	348
909	3484	344
910	3488	340
911	3491	336
912	3494	332
913	3496	329
914	3499	325
915	3502	321
916	3506	317
917	3509	313
918	3512	309
919	3518	305
920	3522	302
921	3525	298
922	3527	294
923	3531	290
924	3534	286
925	3537	282
926	3540	278
927	3543	274
928	3547	271
929	3550	267
930	3553	263
931	3556	259
932	3560	255
933	3563	251
934	3566	247
935	3570	244
936	3572	240
937	3576	236
938	3579	232
939	3582	228
940	3585	224
941	3588	220
942	3591	217
943	3594	213
944	3596	209
945	3600	205
946	3603	201
947	3606	197
948	3609	193
949	3612	190
950	3615	186
951	3619	182
952	3622	178
953	3625	174
954	3628	170
955	3631	167
956	3634	163
957	3636	159
958	3640	155
959	3643	151
960	3647	148
961	3651	144
962	3654	140
963	3658	136
964	3661	132
965	3664	128
966	3667	125
967	3670	121
968	3674	117
969	3677	113
970	3680	109
971	3683	106
972	3686	102
973	3689	98
974	3693	94
975	3696	90
976	3699	87
977	3702	83
978	3705	79
979	3708	75
980	3711	71
981	3714	68
982	3717	64
983	3720	60
984	3723	56
985	3726	52
986	3729	49
987	3732	45
988	3735	41
989	3740	37
990	3744	34
991	3747	30
992	3750	26
993	3753	22
994	3756	18
995	3759	15
996	3762	11
997	3767	7
998	3770	3
999	3773	0
