iter	Logloss
0	0.6387119536
1	0.5895877404
2	0.5408192918
3	0.4934545774
4	0.4553792772
5	0.4131326362
6	0.3714758683
7	0.3403204284
8	0.3115898515
9	0.2817902645
10	0.2566131309
11	0.2363519373
12	0.2170057231
13	0.1988196352
14	0.178507394
15	0.1641329614
16	0.1502357717
17	0.1375299583
18	0.1257567913
19	0.1164412613
20	0.1072568126
21	0.09888922122
22	0.09145216035
23	0.08394418776
24	0.07697871023
25	0.0703388866
26	0.06507419564
27	0.05951535603
28	0.05528663845
29	0.05120697607
30	0.04755362747
31	0.04412360087
32	0.04054861397
33	0.03747196231
34	0.03471392884
35	0.03248144857
36	0.03001560694
37	0.02783236908
38	0.02588341736
39	0.02430979657
40	0.02254794528
41	0.0211521032
42	0.0197333045
43	0.01844534849
44	0.01721496341
45	0.01621694278
46	0.01512443606
47	0.0142254357
48	0.01336333014
49	0.01262495668
50	0.01193973834
51	0.01126230846
52	0.01071127586
53	0.0101351754
54	0.009574492782
55	0.009049551785
56	0.00858275785
57	0.008170191782
58	0.007772821614
59	0.007392580124
60	0.007058575522
61	0.006721282422
62	0.00634318086
63	0.006086951204
64	0.005859792767
65	0.005615384506
66	0.005397991691
67	0.005169109936
68	0.004964929378
69	0.004718899987
70	0.004544225755
71	0.004376006451
72	0.004208805786
73	0.00406010709
74	0.003909390073
75	0.003781911258
76	0.003669977445
77	0.003526850286
78	0.003447636623
79	0.00332790141
80	0.003175740819
81	0.003061240294
82	0.003001941886
83	0.002912321039
84	0.002821023113
85	0.002737929788
86	0.002664196109
87	0.002594685413
88	0.002539520287
89	0.002479292018
90	0.002431118882
91	0.002397078385
92	0.002345140954
93	0.002268947374
94	0.002226459984
95	0.002167182153
96	0.002108356536
97	0.002047320939
98	0.002012684656
99	0.001962419218
100	0.001936508416
101	0.001887696723
102	0.001860101328
103	0.001804760494
104	0.001775710891
105	0.001744091108
106	0.001720858107
107	0.001691455125
108	0.001642997274
109	0.001619282812
110	0.001583445825
111	0.001551194883
112	0.001515478232
